10
50
41,28,-43,-10,-6,17,21,66,57,-82,1
-29,-54,-83,-99,-86,-11,-64,78,-41,-87,1
-8,54,-7,-66,-82,-89,-4,9,76,28,1
-46,-84,93,-7,-51,55,20,-16,67,-22,1
18,23,73,-30,-96,-36,-2,47,-99,42,1
6,-70,-22,13,-80,30,-24,-76,66,39,1
75,97,-89,83,39,31,-100,47,9,71,1
6,-68,-83,26,26,-94,0,-51,-7,-42,-1
78,-46,25,-34,-2,40,-69,80,-70,-3,1
72,-91,16,17,-65,91,-42,60,6,72,1
-73,-74,-41,92,-72,-29,-61,94,12,-37,1
-17,91,-78,54,-23,24,-11,-77,15,-30,1
-18,29,55,-61,-62,-7,-52,68,-90,-64,-1
91,-61,-27,-43,76,99,-87,-48,41,-32,-1
-42,62,43,-9,76,-38,67,27,57,-85,1
-74,-94,69,35,-38,31,-100,97,21,-98,1
0,7,-86,-10,0,13,56,37,-65,14,-1
23,-27,40,-35,-41,88,67,-33,100,30,-1
-67,83,-58,72,54,40,-31,-84,14,16,1
-9,60,5,14,-41,-40,19,81,-22,-77,1
-74,20,79,-71,-62,-57,54,-10,-80,13,1
25,-4,-64,52,45,96,82,-63,-17,86,1
-42,-77,11,-13,-46,-38,-91,-34,-74,-91,1
-9,71,52,-5,-54,46,-62,-77,-96,45,1
-31,63,97,96,-42,-2,-7,10,23,72,1
15,-85,-77,-78,85,89,-43,43,-100,49,1
63,34,-98,11,-15,-19,-24,-80,50,9,1
-35,100,25,96,-25,71,80,-41,-11,-96,1
-93,-52,-60,30,74,45,-72,-78,94,97,-1
55,69,-76,17,-35,65,59,53,94,43,-1
56,9,96,2,7,-36,51,-81,-51,-24,1
12,-86,98,-1,-63,-54,33,95,-63,83,-1
14,-12,24,-76,4,-59,-28,60,95,96,-1
-95,29,56,19,-57,-69,-54,17,-32,-87,-1
77,-76,9,-98,-14,88,-14,-8,62,100,-1
-71,-88,-98,64,5,90,98,34,8,98,1
-55,52,-19,-29,33,78,-38,30,90,-27,-1
21,40,-34,-56,49,-83,-69,-93,41,-95,1
-49,34,49,-58,-77,81,43,64,-44,62,1
50,-42,-99,-40,-70,-36,-29,30,81,30,-1
57,-39,45,-49,-81,15,-68,95,64,79,-1
67,25,-3,-58,68,-60,19,-38,-8,-98,-1
-12,-47,-93,66,38,23,-21,31,52,-43,-1
26,15,-87,17,74,3,-84,69,-44,-65,-1
94,-100,-66,67,-7,29,37,7,35,-21,-1
33,-67,-27,-5,-65,-96,34,59,61,-3,-1
-92,4,-4,-66,98,-47,-60,15,-41,2,1
67,29,36,-27,-82,-64,1,67,85,35,-1
82,-94,60,-65,48,17,58,-25,-8,-25,1
-47,20,-100,-90,-63,-64,-91,-86,-95,-70,1
-40,-58,65,-96,49,30,32,99,-98,-3,-1
-28,-75,-79,-75,-2,-11,100,-69,38,19,
-82,91,83,-94,28,52,31,83,-89,-5,
-55,-14,74,30,-30,45,3,-70,9,38,
-99,-85,59,70,-84,-19,99,-27,-54,-26,
71,100,94,-33,-25,29,11,-38,-36,-22,
81,50,-83,61,-12,9,88,-26,19,-31,
25,-11,63,1,28,-84,-30,93,10,-2,
23,-39,-46,33,-22,-72,87,55,-60,19,
4,35,89,3,4,45,-72,-15,90,21,
-47,54,-75,12,-36,1,-53,45,-91,-82,
-88,70,-31,-6,-96,27,85,-12,20,-1,
31,-100,-89,-55,-88,-83,50,-17,73,89,
-6,98,100,-74,67,-6,-58,49,-25,56,
-62,-97,40,-3,-68,74,-68,11,-93,-37,
0,-30,10,-96,-74,46,-53,-65,-19,14,
49,-38,-27,98,54,-46,38,42,59,43,
96,79,90,-66,97,42,7,-17,-67,16,
-67,-14,52,80,-96,94,28,-49,-13,59,
-53,-57,86,-37,-17,-8,60,-26,-42,-91,
21,-88,-92,-61,-75,36,-76,8,-92,19,
37,-6,-95,68,32,-9,92,96,40,48,
52,-26,-89,60,23,25,30,-19,-11,-22,
41,75,-53,-58,58,-34,90,-73,19,-12,
-86,-21,7,93,-64,-82,-93,-68,-12,-54,
0,24,60,-65,94,6,-33,-35,97,95,
-13,59,-11,76,-9,-57,-79,56,-92,25,
98,-50,40,-6,90,-17,75,6,83,-53,
0,-13,-39,61,-46,84,62,93,1,48,
-87,38,-44,-9,53,90,8,75,-54,-19,
37,93,-88,-9,74,9,-94,31,-88,77,
-20,2,-86,11,59,68,82,32,71,69,
-62,-14,-16,94,98,81,-66,-38,78,-87,
33,-40,-31,-54,-79,19,57,-78,8,-76,
55,-84,69,-58,-55,60,16,-31,17,88,
58,-60,-66,6,54,71,96,50,-60,90,
74,-24,-32,60,-21,7,1,-98,19,-36,
69,-56,30,-31,-54,97,29,69,-91,42,
39,-68,84,38,-63,-48,37,-96,-38,-22,
-12,-53,79,92,-83,63,-71,100,16,64,
-42,-66,-66,90,52,-2,62,-65,-36,-37,
-27,-97,53,-49,20,-66,2,52,-14,-96,
-79,93,58,74,59,19,-48,-20,-83,-90,
35,-81,75,86,-80,57,39,4,-100,-28,
14,7,64,-54,-26,7,98,14,44,-87,
-82,56,-52,8,96,100,-15,-77,41,7,
-21,86,-5,-25,50,53,-38,57,71,-13,
11,-77,-54,-5,-30,27,-52,67,92,91,
46,-3,85,-35,-43,16,-28,27,-5,96,
81,-56,39,-14,22,-30,-18,45,10,94,
-94,-35,85,-91,-72,-95,-29,-1,28,86,
-34,74,-84,-84,97,66,42,25,81,-39,
21,-81,-13,51,-90,90,-7,65,-33,70,
77,89,-54,38,83,-84,73,-12,49,-92,
-100,-72,-31,91,-3,-3,94,61,-39,-47,
-3,93,56,-100,24,-38,-53,43,-45,92,
-69,24,-63,54,43,100,20,98,32,-85,
-52,20,62,-52,-35,49,18,91,-27,28,
81,-35,-21,-75,72,-71,-7,48,-54,-36,
-4,43,-87,27,76,-82,-28,6,-13,-72
